protein_id,rg_ground_truth_nm,re_ground_truth_nm,rg_best_nm,re_best_nm,rmsd_best_angstrom,saxs_loss_best,seq_length
2K8R-1_A,1.3777686676285297,0.8620291,1.3695647490598248,1.4137694835662842,3.5803165435791016,0.01371296,133
1XSA-23_A,1.4687494692987917,4.452528,1.487305579468165,5.152052879333496,3.025319814682007,0.03187927,153
1K2H-4_A,1.40354525067569,3.23232,1.3913609995218743,3.812202215194702,5.955379486083984,0.07182862,93
2D9E-12_A,1.5187304255852954,2.1778164,1.5195892697521982,1.744408130645752,2.676567792892456,0.01984841,121
1P7M-18_A,1.7121877777672578,2.1191704,1.702929847336192,1.4257221221923828,2.256147623062134,0.01637184,187
1EX6_B,1.832680997054291,0.88316137,1.7035966995231409,0.9560477137565612,2.664046049118042,0.08809476,186
2AI6-18_A,1.4557362959046225,4.709083,1.4390658426443477,4.307835578918457,2.9023537635803223,0.02687395,125
1MO8-14_A,1.725500820947981,0.5266304,1.8025682359368724,1.1505905389785769,15.44576644897461,0.14697963,213
2KXL-8_A,1.5091980982824025,4.634607,1.506125848414268,5.260205268859863,3.455806970596313,0.01901604,142
1TJD_A,1.8654663820494664,4.4086027,1.8913902701676844,4.094639778137207,2.675509452819824,0.03428155,216
2VCD-8_A,1.4879620024600242,4.4950037,1.4803655739866717,4.919890403747559,1.7165842056274414,0.02541574,137
2F63-4_A,1.4432170291021464,2.9291146,1.4557602583517313,2.780440330505371,2.368009567260742,0.03344042,158
1ROE-10_A,1.2026723882169723,3.051452,1.2033191112050232,3.5833871364593506,4.202966213226318,0.03442128,97
1CZ2-8_A,1.2273715139201573,1.3755581,1.2263185583726424,1.4476312398910522,2.2700283527374268,0.02383807,90
1PUN-7_A,1.4647884156322797,3.4276292,1.4488380393636722,3.6829488277435294,3.614481925964356,0.03180172,129
1WCW_A,2.0568565241326526,1.7278523,1.996759628941412,1.6281358003616333,2.003856420516968,0.02500292,254
1ZFS-13_B,1.4169490689508006,3.0011091,1.399024818030358,3.76788067817688,2.63275408744812,0.04091774,93
1VHL_A,1.8992859895154297,2.099823,1.9003393179127388,2.0855581760406494,1.7934750318527222,0.02204516,208
2LKC-4_A,1.5267790267720205,3.3938513,1.5666624197111436,2.430845022201538,6.882128715515137,0.0448415,178
1ZOL_A,1.8926576772708048,1.3064977,1.836652203983538,1.119007229804993,1.8011504411697388,0.02771273,221
1NTR-7_A,1.368459512704958,2.0114977,1.3562722474439692,1.4414629936218262,4.382267475128174,0.0378371,124
1UR6-4_A,1.609904428002966,3.8295887,1.5958608574188922,3.510932683944702,2.321580648422241,0.01822528,147
1TNQ-33_A,1.4252344758859228,2.8416898,1.316852581736776,2.4157519340515137,5.239706516265869,0.14814043,90
1S2O_A,1.8891333202701512,1.6644883,1.869078516012412,1.4953043460845947,1.750947117805481,0.02270834,244
1JM4-15_B,1.4460155096031635,1.5350693,1.4748113183006428,2.339750289916992,4.958243846893311,0.03567515,118
1RRO_A,1.2724530725126717,2.343052,1.2675063092697392,2.4311022758483887,1.316349744796753,0.01662141,108
2CG6_A,1.8348707549732617,5.884685,1.6926476904014995,5.298520565032959,6.270231246948242,0.14362574,90
1MO7-3_A,1.7501723738655637,1.2485683,1.7322656563816048,1.7782773971557615,15.430755615234377,0.14652738,213
1VIY_C,1.881487918871716,2.1756651,1.886483438031887,1.8535643815994265,1.9799392223358157,0.01855821,208
1RTP_1,1.2662036941810717,2.2933853,1.2604358910368454,2.478354215621948,1.1347200870513916,0.01981211,109
1JKN-15_A,1.4746645203074344,2.2044623,1.5422376701774134,3.0968563556671143,3.7922329902648926,0.08769375,165
1JFJ-3_A,2.4113610757338453,4.647493,2.264461789241235,2.7145471572875977,7.448346138000488,0.10825071,134
1LAH_E,1.7698811242291834,3.2699647,1.7828846376319798,3.3540353775024414,1.5050153732299805,0.02086102,238
1LIP-2_A,1.169525438168934,1.7588643,1.1717472985809678,1.6976975202560425,1.8297209739685056,0.05646331,91
1AEL-12_A,1.3588068325978562,1.3113769,1.3467389006406194,1.0997295379638672,2.5261547565460205,0.03849031,131
2RCS_H,2.3106167912776807,5.9564,2.264274399237055,5.904181957244873,4.119892120361328,0.02390701,217
1JTB-6_A,1.1597589113296556,2.2410204,1.17024806320558,1.661523461341858,2.541956663131714,0.03236562,91
2CG7_A,1.6976704613393547,5.475552,1.6855352778627255,5.386136054992676,1.9583091735839844,0.03054511,90
1SKT-10_A,1.1799446137809737,2.6807613,1.2386828887723598,2.468224048614502,3.191390037536621,0.09531387,90
1QJ8_A,1.8097587546106635,0.8762992,1.768512278359831,0.7501512765884399,2.713003158569336,0.05645857,148
2K43-1_A,1.382953158024628,0.76341385,1.376867703670486,1.4070594310760498,2.480720281600952,0.02479678,133
2JU8-9_A,1.479947973431861,1.7028922,1.4304244742110637,1.453719973564148,1.7853505611419678,0.05487099,127
1EQM_A,1.5820398924197776,2.9333959,1.5504181162126938,2.8373756408691406,2.576416492462158,0.03370108,158
1JFK_A,1.7344536758887084,2.1850386,2.109475720747313,3.04662823677063,9.3652925491333,0.34421858,134
2NLN-4_A,1.2546336290934568,2.3355737,1.2633884588776114,2.4505772590637207,3.827213287353516,0.0423398,108
1WD7_B,1.9879112863087185,1.7519821,1.955226641007292,0.5644936561584473,4.317806243896484,0.05947569,254
1IJA-15_A,1.488637941033684,2.4111195,1.5025719512159976,2.4207687377929688,4.003632068634033,0.03113128,148
2L51-15_B,1.4934972732436027,2.4190729,1.4939339069320208,3.965702533721924,3.5046677589416504,0.02982929,102
1FMF-4_A,1.3657800010787164,1.8102554,1.3647563858462513,1.0364426374435425,14.412345886230469,0.05196641,137
2JWW-13_A,1.2321298729945658,2.1608996,1.2265939818329503,2.264764308929444,2.759321689605713,0.0233713,109
2L50-24_A,1.5703533189880428,4.2333755,1.550586775076264,4.423795223236084,3.3058362007141118,0.02836835,102
1TJ5_A,1.797818853180963,1.5359066,1.8059495567816144,1.1663724184036257,2.0409188270568848,0.05308282,244
1URE-8_A,1.3823693276881024,1.2458376,1.372680443438962,1.0921106338500977,1.5945031642913818,0.01462899,131
1ID8-11_A,1.386579453904388,0.7696255,1.3727260349010546,1.243067741394043,14.83869743347168,0.04661227,137
2ECK_B,1.6676586098679578,1.1106379,1.6757214789811834,0.8199291825294495,17.089305877685547,0.08206519,214
4AKE_B,1.954057258077416,1.0526451,1.811922403716592,1.4908051490783691,17.745817184448242,0.15807676,214
1GH1-7_A,1.2081010680647803,1.276251,1.1989061974977309,1.4591000080108645,2.186387538909912,0.04251472,90
1AJ7_H,2.085556544283424,4.81921,2.142420595921559,5.291224002838135,4.944273948669434,0.08623003,217
2RS9-13_B,1.592974442925032,4.033096,1.5634893993729524,2.8129053115844727,2.821685791015625,0.03132673,121
1F3Y-17_A,1.579156526778092,2.6920142,1.5706205036638374,3.542946577072144,5.23256254196167,0.03280186,165
1EEJ_B,1.9029543846371533,4.51109,1.8986015281503952,3.9884352684021,1.9017252922058103,0.02025817,216
2UZ5-9_A,1.5146809814102675,4.812275,1.5049799457084088,4.876509189605713,2.464923858642578,0.01682245,137
1XSC-20_A,1.519984173945801,4.5444803,1.5082835771692298,4.583320617675781,2.6565804481506348,0.01816953,153
2LAO_A,1.9023473619458544,3.2307022,1.8655302015214676,3.3291187286376958,2.226335048675537,0.04671259,238
1EX7_A,1.6745988170694863,0.87351733,1.67721155661253,1.2370089292526243,1.7790358066558838,0.03819453,186
2K0G-9_A,1.5425134451200722,5.5740147,1.5104243203080945,5.575483798980713,3.301647901535034,0.03333196,142
1ORM-9_A,1.7943168015194786,1.0817889,1.785564754044206,0.7355452179908752,4.90169095993042,0.06450863,148
2OZW-3_A,1.453881292422873,3.6516807,1.4436716988754246,4.184876441955566,3.4311981201171875,0.02669719,125
1O03_A,1.8091360385974855,1.5042125,1.7714939256087652,1.1689502000808716,1.8458595275878904,0.03071566,221
2KID-4_A,1.5192197788057975,1.8712226,1.5056057043990647,2.4060821533203125,2.143738985061645,0.01430358,148
1W4U-9_A,1.504562098321368,3.4691916,1.5300350531726166,3.510744333267212,2.154316663742065,0.03798457,147
1XYD-15_B,1.3892756644904705,3.2928271,1.381613280349554,3.6466434001922607,2.607448101043701,0.02599281,92
1SYM-2_B,1.3988091900471171,2.2496939,1.4034115585645457,3.496342897415161,4.490363121032715,0.02661981,92
1WUM_A,1.4754202455140597,2.7402232,1.48176398021879,2.5888075828552246,4.31826114654541,0.02560373,118
