protein_id,pair_rmsd_avg,pair_rmsd_best
2K8R-1_A,0.496139,0.32488388
1XSA-23_A,1.3303902,0.860975
1K2H-4_A,1.038486,0.43301576
2D9E-12_A,1.1269006,0.5350798
1P7M-18_A,0.5513216,0.37515315
1EX6_B,0.97117066,0.54422843
2AI6-18_A,1.1510509,0.7094507
1MO8-14_A,12.613535,6.5426154
2KXL-8_A,1.0991039,0.5809833
1TJD_A,1.2292296,0.7052517
2VCD-8_A,0.9885116,0.56482846
2F63-4_A,0.90548617,0.67073333
1ROE-10_A,0.8034179,0.5441644
1CZ2-8_A,0.5241223,0.33859175
1PUN-7_A,0.887571,0.5544149
1WCW_A,1.6884243,0.71984303
1ZFS-13_B,0.86546755,0.47410968
1VHL_A,1.0600488,0.6097909
2LKC-4_A,1.492738,0.86737764
1ZOL_A,0.77332497,0.51715565
1NTR-7_A,0.7805542,0.53869075
1UR6-4_A,0.5228012,0.3588246
1TNQ-33_A,0.9549641,0.5681621
1S2O_A,0.88995105,0.60906786
1JM4-15_B,1.1194901,0.68868697
1RRO_A,0.89766103,0.53612536
2CG6_A,1.0640016,0.5444826
1MO7-3_A,10.636987,5.920478
1VIY_C,1.1352003,0.67943877
1RTP_1,0.6977182,0.43015963
1JKN-15_A,1.3368096,0.7865822
1JFJ-3_A,6.1561484,1.2501457
1LAH_E,1.0019292,0.6276206
1LIP-2_A,0.6796658,0.4812117
1AEL-12_A,0.7589451,0.5536277
2RCS_H,1.6361634,0.6854415
1JTB-6_A,0.66010344,0.4797809
2CG7_A,1.0327437,0.509978
1SKT-10_A,1.0360848,0.6362379
1QJ8_A,0.9631637,0.6059368
2K43-1_A,0.619238,0.44851267
2JU8-9_A,0.7807261,0.46862185
1EQM_A,0.78351593,0.5169912
1JFK_A,5.4509406,1.2068022
2NLN-4_A,0.92623353,0.5382032
1WD7_B,3.388565,1.1163219
1IJA-15_A,1.4264168,0.78755903
2L51-15_B,1.2717974,0.700674
1FMF-4_A,6.7441154,2.751462
2JWW-13_A,0.83590275,0.55260456
2L50-24_A,1.1240349,0.5819153
1TJ5_A,0.98574257,0.6850331
1URE-8_A,0.65404683,0.44404522
1ID8-11_A,5.016554,2.5486052
2ECK_B,3.480648,2.4762259
4AKE_B,4.393684,2.7125084
1GH1-7_A,0.65740895,0.45479816
1AJ7_H,1.6206051,0.8195878
2RS9-13_B,0.900293,0.4748973
1F3Y-17_A,1.385417,0.80849737
1EEJ_B,1.1237066,0.5965001
2UZ5-9_A,0.88743734,0.48334926
1XSC-20_A,1.2084715,0.7949423
2LAO_A,0.87169063,0.48936003
1EX7_A,1.1091846,0.7183609
2K0G-9_A,1.1087732,0.6342501
1ORM-9_A,0.8910525,0.5381329
2OZW-3_A,1.0643184,0.6775919
1O03_A,0.90246373,0.6382054
2KID-4_A,1.2804582,0.82966036
1W4U-9_A,0.7535008,0.52352357
1XYD-15_B,0.8599047,0.52106327
1SYM-2_B,0.9044133,0.4753903
1WUM_A,1.0605419,0.5255814
2JU3-3_A,0.7630195,0.44161534
1LMZ-9_A,0.54739785,0.36759484
2LKD-18_A,1.3061814,0.85989356
2CJO-5_A,0.76530874,0.52133983
1MUT-11_A,0.8863855,0.55974436
1KRX-4_A,0.95030016,0.6393267
