pdb_id,type,rmsd,rg_diff_A,of_rmsd,OpenFold Accuracy,pair_id,ref_pr_div,apo_holo_similarity
2K8R-1_A,AlphaSAXS,3.7439680099487305,0.1465003507991613,4.023227989673615,Medium,2K43-1_A,0.036277752482186294,High
1XSA-23_A,AlphaSAXS,4.088649153709412,0.968865948033415,3.9637666940689087,Medium,1XSC-20_A,0.050869613067610425,Medium
1K2H-4_A,AlphaSAXS,6.395006775856018,-0.0863874168588307,6.599480509757996,Low,1ZFS-13_B,0.07205131474533108,Medium
2D9E-12_A,AlphaSAXS,3.590703010559082,0.3370775100918721,3.8967731595039368,Medium,2RS9-13_B,0.0703582837093622,Medium
1P7M-18_A,AlphaSAXS,2.488432079553604,-0.2064926437166181,2.277342975139618,Medium,1LMZ-9_A,0.06274836833083083,Medium
1EX6_B,AlphaSAXS,3.0724433064460754,-1.2732303662685365,1.364033669233322,Medium,1EX7_A,0.16869611336829338,Low
2AI6-18_A,AlphaSAXS,2.787221372127533,0.4795739905346652,2.485288828611374,Medium,2OZW-3_A,0.016367604089596224,High
1MO8-14_A,AlphaSAXS,18.085795640945435,4.645114848631899,20.8240008354187,Low,1MO7-3_A,0.026735126384412854,High
2KXL-8_A,AlphaSAXS,3.886022567749024,0.0610489544312309,4.482156038284302,Medium,2K0G-9_A,0.04472605009379144,High
1TJD_A,AlphaSAXS,1.699306070804596,0.3432192122528588,2.504618465900421,Medium,1EEJ_B,0.043229466765339127,High
2VCD-8_A,AlphaSAXS,1.579134166240692,0.2934212992329277,1.495840847492218,Medium,2UZ5-9_A,0.04817298816635246,High
2F63-4_A,AlphaSAXS,2.20383569598198,0.809053079203248,1.8967130780220032,Medium,1EQM_A,0.16231111310742183,Low
1ROE-10_A,AlphaSAXS,4.396737217903137,0.2429104711734231,4.444550275802612,Medium,2CJO-5_A,0.033981202897744374,High
1CZ2-8_A,AlphaSAXS,2.4383819103240967,-0.1709087236756223,2.6941484212875366,Medium,1GH1-7_A,0.07158904970082215,Medium
1PUN-7_A,AlphaSAXS,3.8825681805610657,-0.0787467032502364,4.031204581260681,Medium,1MUT-11_A,0.042885252294395194,High
1WCW_A,AlphaSAXS,1.5908023715019226,-0.0775300227982667,1.6731691360473633,Medium,1WD7_B,0.03895270920019147,High
1ZFS-13_B,AlphaSAXS,2.730790376663208,-0.2247465917727154,2.111629545688629,Medium,1K2H-4_A,0.07205131474533108,Medium
1VHL_A,AlphaSAXS,2.1964825689792637,-0.1601519302431553,2.5522148609161377,Medium,1VIY_C,0.030909341929776145,High
2LKC-4_A,AlphaSAXS,7.930576801300049,1.0506820883506762,8.090288639068604,Low,2LKD-18_A,0.05215333697263924,Medium
1ZOL_A,AlphaSAXS,2.4884289503097534,-0.9237215998666072,2.8507041931152344,Medium,1O03_A,0.10851958581890321,Low
1NTR-7_A,AlphaSAXS,4.7535717487335205,-0.2000264610182478,4.370365142822266,Medium,1KRX-4_A,0.10510919737149887,Low
1UR6-4_A,AlphaSAXS,2.3095758259296417,-0.0396157529716223,2.1689914166927338,Medium,1W4U-9_A,0.09022132710818373,Medium
1TNQ-33_A,AlphaSAXS,5.227321982383728,-1.3397652030133012,3.186950981616974,Medium,1SKT-10_A,0.33031450366672227,Low
1S2O_A,AlphaSAXS,2.2988244891166687,-0.3752221252362187,3.104504942893982,Medium,1TJ5_A,0.09760233185197341,Medium
1JM4-15_B,AlphaSAXS,4.142813682556152,0.4881157857082918,2.9965057969093323,Medium,1WUM_A,0.029629626130346223,High
1RRO_A,AlphaSAXS,1.1153163015842438,-0.0271925515656512,0.6078558787703514,High,2NLN-4_A,0.0407880062275198,High
2CG6_A,AlphaSAXS,7.207493782043457,-1.6334259127867543,6.184125542640686,Low,2CG7_A,0.13618919678255356,Low
1MO7-3_A,AlphaSAXS,18.58777642250061,4.087549809579299,21.66639804840088,Low,1MO8-14_A,0.026735126384412854,High
1VIY_C,AlphaSAXS,2.35550194978714,0.0027537836943625,2.791082262992859,Medium,1VHL_A,0.030909341929776145,High
1RTP_1,AlphaSAXS,1.0937371850013733,0.0640210376522176,0.4624359682202339,High,2JWW-13_A,0.0681894011833737,Medium
1JKN-15_A,AlphaSAXS,3.819941282272339,1.1421714219373658,2.735125720500946,Medium,1F3Y-17_A,0.13437486172689725,Low
1JFJ-3_A,AlphaSAXS,7.452875971794128,-2.5526893419569907,13.698426485061646,Low,1JFK_A,0.5547103349508453,Low
1LAH_E,AlphaSAXS,1.4369890093803406,0.4219543110475809,0.4350994899868965,High,2LAO_A,0.13537980622580342,Low
1LIP-2_A,AlphaSAXS,1.827556937932968,0.3893420973689721,2.2875186800956726,Medium,1JTB-6_A,0.07682515958873515,Medium
1AEL-12_A,AlphaSAXS,2.695547938346863,0.3979720994216507,2.485528588294983,Medium,1URE-8_A,0.06288195333902961,Medium
2RCS_H,AlphaSAXS,4.188855588436127,-1.9470044075361548,5.376092195510864,Low,1AJ7_H,0.18462676380120685,Low
1JTB-6_A,AlphaSAXS,2.7217254042625427,0.5092332041843228,2.950222790241241,Medium,1LIP-2_A,0.07682515958873515,Medium
2CG7_A,AlphaSAXS,2.424400895833969,-0.3042306165814223,0.9254872798919678,High,2CG6_A,0.13618919678255356,Low
1SKT-10_A,AlphaSAXS,3.980453908443451,1.1659847543849944,5.028528571128845,Low,1TNQ-33_A,0.33031450366672227,Low
1QJ8_A,AlphaSAXS,2.797717452049256,0.1573807616900757,1.312507539987564,Medium,1ORM-9_A,0.14533221327640766,Low
2K43-1_A,AlphaSAXS,2.7308693528175354,0.0809775935997758,2.8643620014190674,Medium,2K8R-1_A,0.036277752482186294,High
2JU8-9_A,AlphaSAXS,1.880854070186615,-0.8245955435564611,1.8164202570915224,Medium,2JU3-3_A,0.10032063455564244,Low
1EQM_A,AlphaSAXS,3.364425003528595,-0.5626274433042555,3.968024253845215,Medium,2F63-4_A,0.16231111310742183,Low
1JFK_A,AlphaSAXS,11.185952425003052,4.33067772120856,13.2603120803833,Low,1JFJ-3_A,0.5547103349508453,Low
2NLN-4_A,AlphaSAXS,3.7740206718444815,0.1194662871057539,3.898136019706726,Medium,1RRO_A,0.0407880062275198,High
1WD7_B,AlphaSAXS,4.692208766937256,0.563814711582098,5.220727324485779,Low,1WCW_A,0.03895270920019147,High
1IJA-15_A,AlphaSAXS,4.365927278995514,0.4059534000782738,3.3294478058815,Medium,2KID-4_A,0.03640104631649752,High
2L51-15_B,AlphaSAXS,4.283100962638855,0.7108413340932751,4.846457839012146,Medium,2L50-24_A,0.08659964523392964,Medium
1FMF-4_A,AlphaSAXS,15.722757577896118,0.671535680981008,16.602275371551514,Low,1ID8-11_A,0.04770825921571312,High
2JWW-13_A,AlphaSAXS,2.6936575770378117,0.383400152852893,2.6619619131088257,Medium,1RTP_1,0.0681894011833737,Medium
2L50-24_A,AlphaSAXS,4.13036972284317,0.0279121736742271,3.905694782733917,Medium,2L51-15_B,0.08659964523392964,Medium
1TJ5_A,AlphaSAXS,1.7409755289554596,0.5045338087994677,0.5786128714680672,High,1S2O_A,0.09760233185197341,Medium
1URE-8_A,AlphaSAXS,1.6104941070079803,0.1539030109802741,1.4982075989246368,Medium,1AEL-12_A,0.06288195333902961,Medium
1ID8-11_A,AlphaSAXS,16.53868317604065,0.5421620372733127,17.283194065093994,Low,1FMF-4_A,0.04770825921571312,High
2ECK_B,AlphaSAXS,18.356680870056152,0.6401823777399707,22.503516674041748,Low,4AKE_B,0.3291762292067399,Low
4AKE_B,AlphaSAXS,18.923017978668213,-2.194922464163656,21.311352252960205,Low,2ECK_B,0.3291762292067399,Low
1GH1-7_A,AlphaSAXS,2.296116054058075,0.0696599731991565,2.535277009010315,Medium,1CZ2-8_A,0.07158904970082215,Medium
1AJ7_H,AlphaSAXS,5.110107660293579,0.3949766212894445,2.6196569204330444,Medium,2RCS_H,0.18462676380120685,Low
2RS9-13_B,AlphaSAXS,3.332593441009521,-0.3845626607389829,2.868720293045044,Medium,2D9E-12_A,0.0703582837093622,Medium
1F3Y-17_A,AlphaSAXS,5.649862289428711,0.1346995045746979,3.3615490794181824,Medium,1JKN-15_A,0.13437486172689725,Low
1EEJ_B,AlphaSAXS,2.0470885932445526,0.0102279283645856,3.004136979579925,Medium,1TJD_A,0.043229466765339127,High
2UZ5-9_A,AlphaSAXS,3.0817824602127075,0.0182895890786705,3.140295147895813,Medium,2VCD-8_A,0.04817298816635246,High
1XSC-20_A,AlphaSAXS,2.4490326642990112,0.4717427777403049,3.083957433700561,Medium,1XSA-23_A,0.050869613067610425,Medium
2LAO_A,AlphaSAXS,4.117751121520996,-0.964428312062282,4.647368490695953,Medium,1LAH_E,0.13537980622580342,Low
1EX7_A,AlphaSAXS,2.09555447101593,0.3200224028117615,3.3644360303878784,Medium,1EX6_B,0.16869611336829338,Low
2K0G-9_A,AlphaSAXS,3.4280717372894287,-0.237815602065492,3.014959990978241,Medium,2KXL-8_A,0.04472605009379144,High
1ORM-9_A,AlphaSAXS,5.581598281860352,0.3018294693744106,5.6236618757247925,Low,1QJ8_A,0.14533221327640766,Low
2OZW-3_A,AlphaSAXS,3.6293751001358032,0.4995532486849519,3.179282546043396,Medium,2AI6-18_A,0.016367604089596224,High
1O03_A,AlphaSAXS,2.4011632800102234,0.0093336498011842,1.0161551088094711,Medium,1ZOL_A,0.10851958581890321,Low
2KID-4_A,AlphaSAXS,1.9722668826580048,0.1291984552997394,2.392855435609817,Medium,1IJA-15_A,0.03640104631649752,High
1W4U-9_A,AlphaSAXS,2.2773510217666626,1.0207110333928204,2.2789366543293,Medium,1UR6-4_A,0.09022132710818373,Medium
1XYD-15_B,AlphaSAXS,2.345108240842819,-0.0838395790141066,1.9192026555538175,Medium,1SYM-2_B,0.05023583414862787,Medium
1SYM-2_B,AlphaSAXS,5.599597096443176,-0.1310873412477886,6.31409227848053,Low,1XYD-15_B,0.05023583414862787,Medium
1WUM_A,AlphaSAXS,5.600694417953491,0.2295915240706558,3.966139256954193,Medium,1JM4-15_B,0.029629626130346223,High
2JU3-3_A,AlphaSAXS,2.9791006445884705,-0.2261815073646,3.0446264147758484,Medium,2JU8-9_A,0.10032063455564244,Low
1LMZ-9_A,AlphaSAXS,2.8495430946350098,-1.1186356990448632,3.3966565132141118,Medium,1P7M-18_A,0.06274836833083083,Medium
2LKD-18_A,AlphaSAXS,5.965339541435242,0.5989369098761066,4.726607799530029,Medium,2LKC-4_A,0.05215333697263924,Medium
2CJO-5_A,AlphaSAXS,1.4472322165966034,0.5146105775349707,1.472180187702179,Medium,1ROE-10_A,0.033981202897744374,High
1MUT-11_A,AlphaSAXS,3.955398797988892,0.2409680869400943,3.69425356388092,Medium,1PUN-7_A,0.042885252294395194,High
1KRX-4_A,AlphaSAXS,3.4171605110168457,0.4946252030281717,3.5106196999549866,Medium,1NTR-7_A,0.10510919737149887,Low
2K8R-1_A,OpenFold,4.023227989673615,-0.2174340020859499,4.023227989673615,Medium,2K43-1_A,0.036277752482186294,High
1XSA-23_A,OpenFold,3.9637666940689087,0.7541010665464021,3.9637666940689087,Medium,1XSC-20_A,0.050869613067610425,Medium
1K2H-4_A,OpenFold,6.599480509757996,-0.0035151793642929,6.599480509757996,Low,1ZFS-13_B,0.07205131474533108,Medium
2D9E-12_A,OpenFold,3.8967731595039368,0.3440742019694176,3.8967731595039368,Medium,2RS9-13_B,0.0703582837093622,Medium
1P7M-18_A,OpenFold,2.277342975139618,-0.6031011063050951,2.277342975139618,Medium,1LMZ-9_A,0.06274836833083083,Medium
1EX6_B,OpenFold,1.364033669233322,-1.049430202822108,1.364033669233322,Medium,1EX7_A,0.16869611336829338,Low
2AI6-18_A,OpenFold,2.485288828611374,0.1400444967443315,2.485288828611374,Medium,2OZW-3_A,0.016367604089596224,High
1MO8-14_A,OpenFold,20.8240008354187,3.743096422594654,20.8240008354187,Low,1MO7-3_A,0.026735126384412854,High
2KXL-8_A,OpenFold,4.482156038284302,-0.1085180368405835,4.482156038284302,Medium,2K0G-9_A,0.04472605009379144,High
1TJD_A,OpenFold,2.504618465900421,-0.1756858594229005,2.504618465900421,Medium,1EEJ_B,0.043229466765339127,High
2VCD-8_A,OpenFold,1.495840847492218,-0.0903538427451966,1.495840847492218,Medium,2UZ5-9_A,0.04817298816635246,High
2F63-4_A,OpenFold,1.8967130780220032,0.4703715033114486,1.8967130780220032,Medium,1EQM_A,0.16231111310742183,Low
1ROE-10_A,OpenFold,4.444550275802612,0.1317434589382116,4.444550275802612,Medium,2CJO-5_A,0.033981202897744374,High
1CZ2-8_A,OpenFold,2.6941484212875366,-0.141714337131309,2.6941484212875366,Medium,1GH1-7_A,0.07158904970082215,Medium
1PUN-7_A,OpenFold,4.031204581260681,-0.3407361103772732,4.031204581260681,Medium,1MUT-11_A,0.042885252294395194,High
1WCW_A,OpenFold,1.6731691360473633,-0.2268074123944741,1.6731691360473633,Medium,1WD7_B,0.03895270920019147,High
1ZFS-13_B,OpenFold,2.111629545688629,-0.1567866156542408,2.111629545688629,Medium,1K2H-4_A,0.07205131474533108,Medium
1VHL_A,OpenFold,2.5522148609161377,-0.3652945192505918,2.5522148609161377,Medium,1VIY_C,0.030909341929776145,High
2LKC-4_A,OpenFold,8.090288639068604,0.9416071291817852,8.090288639068604,Low,2LKD-18_A,0.05215333697263924,Medium
1ZOL_A,OpenFold,2.8507041931152344,-1.4014007071881318,2.8507041931152344,Medium,1O03_A,0.10851958581890321,Low
1NTR-7_A,OpenFold,4.370365142822266,-0.4132471073269661,4.370365142822266,Medium,1KRX-4_A,0.10510919737149887,Low
1UR6-4_A,OpenFold,2.1689914166927338,-0.219596113839906,2.1689914166927338,Medium,1W4U-9_A,0.09022132710818373,Medium
1TNQ-33_A,OpenFold,3.186950981616974,-1.4112094127415875,3.186950981616974,Medium,1SKT-10_A,0.33031450366672227,Low
1S2O_A,OpenFold,3.104504942893982,-1.1711034562581024,3.104504942893982,Medium,1TJ5_A,0.09760233185197341,Medium
1JM4-15_B,OpenFold,2.9965057969093323,0.5754384256538447,2.9965057969093323,Medium,1WUM_A,0.029629626130346223,High
1RRO_A,OpenFold,0.6078558787703514,-0.072459712606685,0.6078558787703514,High,2NLN-4_A,0.0407880062275198,High
2CG6_A,OpenFold,6.184125542640686,-1.7312968874038592,6.184125542640686,Low,2CG7_A,0.13618919678255356,Low
1MO7-3_A,OpenFold,21.66639804840088,3.690864212321905,21.66639804840088,Low,1MO8-14_A,0.026735126384412854,High
1VIY_C,OpenFold,2.791082262992859,-0.2113210355374262,2.791082262992859,Medium,1VHL_A,0.030909341929776145,High
1RTP_1,OpenFold,0.4624359682202339,-0.0522615683146665,0.4624359682202339,High,2JWW-13_A,0.0681894011833737,Medium
1JKN-15_A,OpenFold,2.735125720500946,0.4724450905070498,2.735125720500946,Medium,1F3Y-17_A,0.13437486172689725,Low
