PDB	cluster
1BZF-1_A	1
1BZF-2_A	1
1BZF-3_A	1
1BZF-4_A	1
1BZF-5_A	1
1BZF-6_A	1
1BZF-7_A	1
1BZF-8_A	1
1BZF-9_A	1
1BZF-10_A	1
1BZF-11_A	1
1BZF-12_A	1
1BZF-13_A	1
1BZF-14_A	1
1BZF-15_A	1
1BZF-16_A	1
1BZF-17_A	1
1BZF-18_A	1
1BZF-19_A	1
1BZF-20_A	1
1BZF-21_A	1
1BZF-22_A	1
1DIU-1_A	2
1DIU-2_A	2
1DIU-3_A	2
1DIU-4_A	2
1DIU-5_A	2
1DIU-6_A	2
1DIU-7_A	2
1DIU-8_A	2
1DIU-9_A	2
1DIU-10_A	2
1DIU-11_A	2
1DIU-12_A	2
1DIU-13_A	2
1DIU-14_A	2
1DIU-15_A	2
1DIU-16_A	2
1DIU-17_A	2
1DIU-18_A	2
1DIS_A	2
3DFR_A	2
1LUD-1_A	3
1LUD-2_A	3
1LUD-3_A	3
1LUD-4_A	3
1LUD-5_A	3
1LUD-6_A	3
1LUD-7_A	3
1LUD-8_A	3
1LUD-9_A	3
1LUD-10_A	3
1LUD-11_A	3
1LUD-12_A	3
1LUD-13_A	3
1LUD-14_A	3
1LUD-15_A	3
1LUD-16_A	3
1LUD-17_A	3
1LUD-18_A	3
1LUD-19_A	3
1LUD-20_A	3
1LUD-21_A	3
1LUD-22_A	3
1LUD-23_A	3
1LUD-24_A	3
2L28-1_A	4
2L28-8_A	4
2L28-16_A	4
2L28-2_A	5
2L28-10_A	5
2L28-13_A	5
2L28-3_A	6
2L28-4_A	7
2L28-5_A	8
2L28-24_A	8
2L28-6_A	9
2L28-18_A	9
2L28-7_A	10
2L28-12_A	10
2L28-9_A	11
2L28-11_A	12
2L28-20_A	12
2L28-14_A	13
2L28-15_A	14
2L28-17_A	15
2L28-19_A	16
2L28-21_A	17
2L28-22_A	18
2L28-23_A	19
2L28-25_A	20
1AO8-1_A	21
1AO8-2_A	21
1AO8-3_A	21
1AO8-4_A	21
1AO8-5_A	21
1AO8-6_A	21
1AO8-7_A	21
1AO8-8_A	21
1AO8-9_A	21
1AO8-10_A	21
1AO8-11_A	21
1AO8-12_A	21
1AO8-13_A	21
1AO8-14_A	21
1AO8-15_A	21
1AO8-16_A	21
1AO8-17_A	21
1AO8-18_A	21
1AO8-19_A	21
1AO8-20_A	21
1AO8-21_A	21
2HQP-1_A	22
2HQP-2_A	22
2HQP-3_A	22
2HQP-8_A	22
2HQP-11_A	22
2HQP-13_A	22
2HQP-16_A	22
2HQP-18_A	22
2HQP-19_A	22
2HQP-21_A	22
2HQP-25_A	22
2HQP-4_A	23
2HQP-7_A	23
2HQP-9_A	23
2HQP-14_A	23
2HQP-17_A	23
2HQP-22_A	23
2HQP-5_A	24
2HQP-10_A	24
2HQP-15_A	24
2HQP-23_A	24
2HQP-6_A	25
2HQP-20_A	25
2HQP-12_A	26
2HQP-24_A	26
2LF1-1_A	27
2LF1-2_A	27
2LF1-3_A	27
2LF1-4_A	27
2LF1-5_A	27
2LF1-6_A	27
2LF1-7_A	27
2LF1-8_A	27
2LF1-9_A	27
2LF1-10_A	27
2LF1-11_A	27
2LF1-12_A	27
2LF1-13_A	27
2LF1-14_A	27
2LF1-15_A	27
2LF1-16_A	27
2LF1-17_A	27
2LF1-18_A	27
2LF1-19_A	27
2LF1-20_A	27
2LF1-21_A	27
2LF1-22_A	27
2LF1-23_A	27
2LF1-24_A	27
2LF1-25_A	27
2HM9-1_A	28
2HM9-2_A	28
2HM9-3_A	28
2HM9-4_A	28
2HM9-5_A	28
2HM9-6_A	28
2HM9-7_A	28
2HM9-8_A	28
2HM9-9_A	28
2HM9-10_A	28
2HM9-11_A	28
2HM9-12_A	28
2HM9-13_A	28
2HM9-14_A	28
2HM9-15_A	28
2HM9-16_A	28
2HM9-17_A	28
2HM9-18_A	28
2HM9-19_A	28
2HM9-20_A	28
2HM9-21_A	28
2HM9-22_A	28
2HM9-23_A	28
2HM9-24_A	28
2HM9-25_A	28
